,Number_Tra,num_pole,num_bus,num_subway,num_Encross,num_tree,pop,Vol,NonPed_D,TrafDir_A,TrafDir_T,RW_TYPE_10,RW_TYPE_3,RW_TYPE_4,RW_TYPE_6,RW_TYPE_7,RW_TYPE_8,RW_TYPE_9,BikeLane_1,BikeLane_11,BikeLane_2,BikeLane_3,BikeLane_4,num_ecollisions_B,num_pedS
0,2,0,0,0,0,0,51064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,6,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,5,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,3,0,0,0,0,0,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,4,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,6,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,2,0,0,0,0,0,51064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,1,0,0,0,0,20,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0,0,0,0,0,4,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,23673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,0,0,0,3,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,3,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0,0,0,0,0,53094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,51064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,1,0,0,0,0,3,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,4,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,1,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,0,0,0,0,0,7,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0,1,0,0,5,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,4,0,0,0,0,1,51064,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,4,0,0,0,0,1,51064,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,4,0,1,0,0,2,51064,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,4,0,2,0,0,3,51064,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,6,51064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,7,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,12,51064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2,0,0,0,0,0,23673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,18,51064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,53094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,1,0,0,0,0,10,52700,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,5,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1,0,0,0,0,25,52700,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,13,59869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
