the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.94530468560845 40.73955237880495),4,Queens,402,26,37,12,12,Borden Avenue and 25th Street,Queens,04/01/2021,-73.94530455,40.73955178,AE,,1
POINT (-73.84198740614518 40.76363559954452),4,Queens,481,21,27,13,14,Harper Street and Marina Road,Queens,05/10/2018,-73.84198747,40.76363489,AE,,1
POINT (-73.98734669534362 40.69145711735026),3,Brooklyn,302,33,52,25,8,Jay Street/Smith Street and Fulton Street,Brooklyn,09/13/2013,-73.98734658,40.69145666,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9095866681074 40.744939838920324),4,Queens,402,26,30,12,14,Roosevelt Avenue and 55th Street,Queens,05/04/2021,-73.9095866,40.74493919,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93873689322899 40.79566461351784),1,Manhattan,111,8,68,30,13,2nd Avenue and Pedestrian Crossing (East 114th Street),Manhattan,11/09/2016,-73.93873674,40.79566408,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.86516594009866 40.84246605986183),2,Bronx,211,13,80,34,14,White Plains Road and Unionport Road,Bronx,12/30/2020,-73.86516591,40.84246551,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84853905902709 40.85746720974223),2,Bronx,211,13,80,34,14,Pelham Parkway South Service Road at Seymour Avenue,Bronx,01/09/2020,-73.84853905,40.85746666,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7856858743255 40.7079358199511),4,Queens,412,27,29,14,5,Jamaica Avenue and 175th Street,Queens,07/08/2019,-73.78568611,40.70793505,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98770999191719 40.77537257430574),1,Manhattan,107,6,67,31,10,West End Avenue and West 65th Street,Manhattan,03/26/2019,-73.98770974,40.77537206,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92227067598995 40.69644361276313),3,Brooklyn,304,37,53,18,7,Central Avenue at Harman Street,Brooklyn,09/15/2020,-73.92227067,40.69644305,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01970425116654 40.622185917305714),3,Brooklyn,310,43,46,22,11,7th Avenue and 81st Street,Brooklyn,03/09/2020,-74.01970429,40.62218564,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80823064245435 40.76379847857799),4,Queens,407,19,40,16,6,Northern Boulevard and 157th Street,Queens,02/09/2021,-73.80823078,40.76379773,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86641472493594 40.74610010992449),4,Queens,404,21,39,13,14,43rd Avenue at 97th Place,Queens,01/02/2020,-73.86641475,40.74609941,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92146304285266 40.84028934037389),2,Bronx,204,16,77,29,15,Edward L Grant Highway and West 170th Avenue,Bronx,02/05/2021,-73.92146291,40.84028887,X,AREA OF MINIMAL FLOOD HAZARD,
