Id,Reservation Date,Franchisee Name ,Status,Installation Date,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Zipcode,Community Board,Council District
27082,03/15/2022,Crown Castle Fiber,Proposed,,UTILITY,Staten_Island,947188,156647,40.5965585,-74.1334553,B,Brielle Ave,Walcott Ave,Roanoke St,Blood Root Valley,New York City Farm Colony- Seaview Hospital Historic District,,,,10314,502,50
27081,03/15/2022,Crown Castle Fiber,Proposed,,UTILITY,Queens,1016238,200616,40.7172634,-73.8846069,B,Juniper Blvd S,70th St,71st St,,,,,,11379,405,30
27080,03/15/2022,Crown Castle Fiber,Proposed,,UTILITY,Bronx,1017736,263325,40.8893767,-73.8788903,B,Jerome Ave,Bainbridge Ave,E 233rd St,Van Cortlandt Park,,,,,10471,226,11
27079,03/15/2022,Crown Castle Fiber,Proposed,,UTILITY,Bronx,1040626,259454,40.8786355,-73.7961362,B,Shore Rd,Orchard Beach Rd,Pelhamdale Ave,Pelham Bay Park,,,,,10464,228,13
27078,03/15/2022,Crown Castle Fiber,Proposed,,UTILITY,Bronx,1017377,264233,40.8918702,-73.8801842,B,Jerome Ave,Bainbridge Ave,E 233rd St,Van Cortlandt Park,,,,,10471,226,11
27077,03/15/2022,Crown Castle Fiber,Proposed,,UTILITY,Bronx,1037039,257350,40.8728828,-73.8091239,B,Shore Rd,Orchard Beach Rd,Pelhamdale Ave,Pelham Bay Park,,,,,10464,228,13
27076,02/18/2022,Crown Castle Fiber,Proposed,,UTILITY,Brooklyn,1007736,172372,40.6397668,-73.9153753,B,E 82nd St,Farrgut Rd,Foster Ave,,,,,,11236,318,46
27075,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953735.785,172392.5,40.6398016,-74.1099488,B,DAVIS AVENUE,STEBBINS AVENUE,WALNUT STREET,,,,,,10310,501,49
27074,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962507.4,171793.5,40.6381833,-74.078341,B,VICTORY BOULEVARD,MONTGOMERY AVENUE,MONROE AVENUE,,,,,,10301,501,49
27073,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960948.5,172314.422,40.6396092,-74.0839597,B,BENZINGER AVENUE,BISMARK AVENUE,WESTERVELT AVENUE,,,,,,10301,501,49
27072,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,959825.01,172651.5,40.6405314,-74.0880091,B,YORK AVENUE,PAUW STREET,CARLYLE STREET,,,,,,10301,501,49
27071,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,959641.129,173233.072,40.6421272,-74.0886738,B,HIGHVIEW AVENUE,PARK PLACE,EAST BUCHANAN STREET,,,,,,10301,501,49
27070,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960089.869,174160.969,40.6446753,-74.0870601,B,JERSEY STREET,CRESCENT AVENUE,RICHMOND TERRACE,,,,,,10301,501,49
27069,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,959332.571,173989.371,40.6442022,-74.0897884,B,HIGHVIEW AVENUE,EADIE PLACE,EAST BUCHANAN STREET,,,,,,10301,501,49
27068,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,956798,173078.43,40.6416943,-74.0989178,B,CASSIDY PLACE,TYSEN STREET,CLINTON AVENUE,,,,,,10301,501,49
27067,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960965.049,173623.559,40.6432025,-74.0839046,B,WESTERVELT AVENUE,CRESCENT AVENUE,LAYTON AVENUE,,,,,,10301,501,49
27066,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960057,173191.908,40.6420153,-74.0871751,B,CARLYLE STREET,JERSEY STREET,YORK AVENUE,,,,,,10301,501,49
27065,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960880.951,173063.171,40.6416642,-74.0842057,B,LAYTON AVENUE,WESTERVELT AVENUE,BISMARK AVENUE,,,,,,11214,501,49
27064,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,958533.461,173947.201,40.6440841,-74.0926678,B,FILLMORE STREET,FRANKLIN AVENUE,LAFAYETTE AVENUE,,,,,,10301,501,49
27063,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,958287.351,174367.76,40.6452378,-74.0935562,B,RICHMOND TERRACE,FRANKLIN AVENUE,LAFAYETTE AVENUE,,,,,,10301,501,49
27062,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,958769.14,171970.85,40.6386602,-74.091811,B,PENDLETON PLACE,ARNOLD STREET,PROSPECT AVENUE,,,,,,10301,501,49
27061,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,959172.461,172399.98,40.6398392,-74.0903594,B,PROSPECT AVENUE,CLYDE PLACE,FRANKLIN AVENUE,,,,,,10301,501,49
27060,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,959486.15,174363.009,40.6452282,-74.0892363,B,FILLMORE STREET,YORK TERRACE,YORK AVENUE,,,,,,10301,501,49
27059,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,957669.451,173876.581,40.6438878,-74.0957809,B,LAFAYETTE AVENUE,VAN BUREN STREET,FILLMORE STREET,,,,,,10301,501,49
27058,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,956956.371,173598.769,40.6431231,-74.0983493,B,CLINTON AVENUE,FILLMORE STREET,CASSIDY PLACE,,,,,,10301,501,49
27057,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,957072.589,172535.83,40.6402059,-74.0979262,B,CLINTON AVENUE,HENDERSON AVENUE,PROSPECT AVENUE,,,,,,10301,501,49
27056,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,958362.849,172708.951,40.6406849,-74.0932778,B,KIRBY COURT,COURTELYOU PLACE,HENDERSON AVENUE,,,,,,10301,501,49
27055,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,957939.371,172144.668,40.6391348,-74.0948015,B,PROSPECT AVENUE,LAFAYETTE AVENUE,ELLICOT PLACE,,,,,,10301,501,49
27054,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,958268.929,171523.85,40.6374318,-74.0936116,B,LAFAYETTE AVENUE,ALDEN PLACE,ARNOLD STREET,,,,,,10301,501,49
27053,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,957401.671,173113.461,40.6417923,-74.0967428,B,CASSIDY PLACE,CLINTON AVENUE,LAFAYETTE AVENUE,,,,,,10301,501,49
27052,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961388.52,173300.83,40.6423178,-74.0823776,B,FORT HILL CIRCLE,FORT HILL CIRCLE,DANIEL LOW TERRACE,,,,,,10301,501,49
27051,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,959363.45,172747,40.6407922,-74.0896725,B,HARVARD AVENUE,NASSAU STREET,PROSPECT AVENUE,,,,,,10301,501,49
27050,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953608.453,173272,40.6422152,-74.1104116,B,DAVIS AVENUE,ARLINTON COURT,DAVIS COURT,,,,,,10310,501,49
27049,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,954344.753,172896.392,40.6411867,-74.1077568,B,LINDEN STREET,BARD AVENUE,DONALD PLACE,,,,,,10310,501,49
27048,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953907.429,171739.486,40.6380098,-74.1093274,B,HENDERSON AVENUE,DAVIS AVENUE,CURTIS COURT,,,,,,10310,501,49
27047,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,954828.85,172975.843,40.6414064,-74.1060128,B,KISSEL AVENUE,LINDEN STREET,WALES PLACE,,,,,,10310,501,49
27046,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,955189.89,172077.13,40.6389409,-74.104708,B,HENDERSON AVENUE,KISSEL AVENUE,WESTBURY AVENUE,,,,,,10301,501,49
27045,12/22/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,954964.66,172345.75,40.6396774,-74.1055207,B,KISSEL AVENUE,WALNUT STREET,HENDERSON AVENUE,Snug Harbor Cultural Center,,,,,10310,501,49
27044,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960501.75,172517.53,40.6401655,-74.0855701,B,HENDRICKS AVENUE,BISMARK AVENUE,JERSEY STREET,,,,,,10301,501,49
27043,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962868.14,168861.38,40.6301362,-74.0770319,B,CONGRESS STREET,BAY STREET,DEAD END,,,,,,10304,501,49
27042,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961905.3,168101.75,40.6280488,-74.0804982,B,VAN DUZER STREET,WRIGHT STREET,SMITH TERRACE,,,,,,10304,501,49
27041,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961983.56,169267.76,40.6312494,-74.0802201,B,ST PAUL'S AVENUE,TAXTER PLACE,CLINTON STREET,,St. Paul's Avenue-Stapleton Heights Historic District,,,,10304,501,49
27040,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962887.32,170989.84,40.6359784,-74.0769696,B,VAN DUZER STREET,HANNAH STREET,VICTORY BOULEVARD,,,,,,10301,501,49
27039,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962722.52,169685.78,40.6323986,-74.0775592,B,CLINTON STREET,BREWSTER STREET,VAN DUZER STREET,,,,,,10304,501,49
27038,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961395.61,169286.04,40.6312981,-74.0823384,B,CEBRA AVENUE,CAITLIN AVENUE,MARION AVENUE,,St. Paul's Avenue-Stapleton Heights Historic District,,,,10304,501,49
27037,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,958773.75,167500.33,40.6263896,-74.0917776,B,VICTORY BOULEVARD,EDDY STREET,THERESA PLACE,,,,,,10301,501,49
27036,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960694.92,168047.81,40.6278976,-74.0848585,B,TROSSACH ROAD,PEARL STREET,MURRAY PLACE,,,,,,10304,501,49
27035,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961543.92,171904.15,40.6384846,-74.0818129,B,WESTERVELT AVENUE,SCRIBNER AVENUE,CORSON AVENUE,,,,,,10301,501,49
27034,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961847.91,171755.16,40.6380765,-74.0807171,B,SHERMAN AVENUE,CORSON AVENUE,BENZINGER AVENUE,,,,,,10301,501,49
27033,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962692.19,173932.68,40.6440554,-74.077682,B,WALL STREET,STUYVESANT PLACE,RICHMOND TERRACE,,,,,,10301,501,49
27032,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962261.78,173684.14,40.6433721,-74.0792322,B,ST MARKS PLACE,WALL STREET,HAMILTON AVENUE,Lt. Lia Playground,,,,,10301,501,49
27031,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960524.25,171209.35,40.6365749,-74.0854845,B,JERSEY STREET,BROOK STREET,CASTLETON AVENUE,,,,,,10301,501,49
27030,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961454.18,172659.12,40.6405566,-74.0821388,B,WESTERVELT AVENUE,HENDRICKS AVENUE,BENZINGER AVENUE,,,,,,10301,501,49
27029,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962216.87,174287.06,40.6450269,-74.079396,B,HAMILTON AVENUE,ACADEMY PLACE,ST MARK'S PLACE,,,,,,10301,501,49
27028,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961171.32,163787.4,40.6162049,-74.0831277,B,ROFF STREET,VANDERBILT AVENUE,BOWEN STREET,,,,,,10304,501,49
27027,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962313.4,168656.09,40.6295713,-74.0790298,B,PROSPECT STREET,VAN DUZER STREET,BAY STREET,,,,,,10304,501,49
27026,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,963152.99,170413.54,40.6343972,-74.0760106,B,VAN DUZER STREET,ST JULIAN PLACE,BAY STREET,,,,,,10301,501,49
27025,12/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961196.81,167856.05,40.6273726,-74.0830498,B,VAN DUZER STREET,STONE STREET,TARGEE STREET,,,,,,10304,501,49
27024,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961422.84,167417.51,40.6261695,-74.082234,B,GORDON STREET,FREAN STREET,GROVE STREET,,,,,,10304,501,49
27023,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962695.47,167995.58,40.6277593,-74.0776512,B,BEACH STREET,UNION STREET,VAN DUZER STREET,,,,,,10304,501,49
27022,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962751.437,169359.922,40.6315043,-74.077454,B,VAN DUZER STREET,BALTIC STREET,WILLIAM STREET,,,,,,10304,501,49
27021,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962383.84,170290.67,40.6340581,-74.0787813,B,ST PAUL'S AVENUE,GRANT STREET,PAXTON STREET,,,,,,10301,501,49
27020,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961969.79,167711.72,40.6269784,-74.0802646,B,Tompkins Place,Court Street,Dead End,,,,,,10304,501,49
27019,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961603.25,173949.6,40.6440991,-74.081606,B,Belmont Place,Daniel Low Terrace,Vine Street,,,,,,10301,501,49
27018,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,962178.31,173158.26,40.6419285,-74.0795312,B,Fort Place,Monroe Avenue,Belmont Place,,,,,,10301,501,49
27017,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961901.88,172477.46,40.6400592,-74.080525,B,Benzinger Avenue,Daniel Low Terrace,Sherman Avenue,,,,,,10301,501,49
27016,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960781.34,171916.71,40.6385171,-74.0845606,B,Bismark Avenue,Winter Avenue,Scribner Avenue,,,,,,10301,501,49
27015,12/15/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961101.22,174244.69,40.6449078,-74.083416,B,Hamilton Avenue,Egmont Place,Curtis Place,,,,,,10301,501,49
27008,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953507.52,170566.03,40.6347875,-74.110763,B,Castleton Avenue,Pelton Avenue,Oakland Avenue,,,,,,10310,501,49
27007,11/30/2021,NY SMSA,Approved,,UTILITY,Staten_Island,954656.37,169813.38,40.6327256,-74.1066204,B,DeKay Street,Bard Avenue,N Mada Avenue,,,,,,10310,501,49
27006,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,952375.63,171466.94,40.6372563,-74.1148453,B,Henderson Avenue,N. Burgher Avenue,Elm Street,,,,,,10310,501,49
27005,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953887.01,168807.94,40.6299633,-74.1093878,B,Forest Avenue,Pelton Avenue,Oakland Avenue,,,,Forest Avenue BID,,10310,501,49
27004,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953404.99,168643.81,40.6295111,-74.1111236,B,Bement Avenue,Forest Avenue,Green Street,,,,Forest Avenue BID,,10310,501,49
27003,11/30/2021,NY SMSA,Approved,,UTILITY,Staten_Island,954145.61,169730.73,40.632497,-74.1084602,B,DeKay Street,Davis Avenue,N. Mada Avenue,,,,,,10310,501,49
27002,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,954122.92,168382.47,40.6287962,-74.108536,B,Morrison Avenue,Pelton Avenue,Davis Avenue,,,,,,10310,501,49
27001,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953009.52,168942.34,40.6303291,-74.1125497,B,Myrtle Avenue,Sheffield Street,N. Burgher Avenue,,,,,,10310,501,49
27000,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,952063.13,170866.58,40.6356074,-74.1159684,B,Market Street,Campbell Avenue,N. Burgher Avenue,,,,,,10310,501,49
26999,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,952036.44,168758.89,40.6298221,-74.1160545,B,Myrtle Avenue,N. Burgher Avenue,Broadway,,,,,,10310,501,49
26998,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,954534.45,167995.63,40.6277358,-74.1070517,B,Lawrence Avenue,Harvest Avenue,Morrison Avenue,,,,,,10310,501,49
26997,11/30/2021,NY SMSA,Approved,,UTILITY,Staten_Island,955491.8,170552.1,40.634756,-74.1036137,B,Castleton Avenue,Walbrooke Avenue,Bard Avenue,,,,,,10301,501,49
26996,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,952029.31,168462.97,40.6290098,-74.1160788,B,Forest Avenue,Broadway,N Burgher Avenue,,,,Forest Avenue BID,,10310,501,49
26995,11/30/2021,NY SMSA,Approved,,UTILITY,Staten_Island,953181.33,170101.11,40.6335103,-74.1119361,B,BEMENT AVENUE,CARY AVENUE,OLIVIA COURT,,,,,,10310,501,49
26994,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,952697.46,169198.17,40.6310302,-74.1136752,B,N. Burgher Avenue,Delafield Avenue,Myrtle Avenue,,,,,,10310,501,49
26993,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953214.72,171585.14,40.6375838,-74.1118226,B,Henderson Avenue,Oakland Avenue,Bement Avenue,,,,,,10310,501,49
26992,11/30/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,953534.16,167124.94,40.6253426,-74.1106513,B,Bement Avenue,Matthews Avenue,Howe Street,,,,,,10310,501,49
26986,11/17/2021,Extenet II,Proposed,,UTILITY,Brooklyn,1003415,177447,40.6537069,-73.9309303,B,Linden Blvd,Utica Ave,East 49th St,,,,,,11203,317,41
26985,11/17/2021,Extenet II,Proposed,,UTILITY,Brooklyn,995197,158096,40.6006065,-73.9605789,B,Avenue T,East 12th St,Coney Island Ave,,,,,,11223,315,48
26984,11/17/2021,Extenet II,Proposed,,UTILITY,Brooklyn,1009745,167036,40.625115,-73.9081567,B,Bergen Ave,Cove Ln,Ave T,,,,,,11234,318,46
26983,11/17/2021,Extenet II,Proposed,,UTILITY,Brooklyn,1003283,162310,40.6121594,-73.9314487,B,East 38th St,Fillmore Ave,Ave S,,,,,,11234,318,46
26982,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,959786.77,165273.51,40.6202803,-74.0881201,B,Park Lane,Oakland Terrace,Dead End,,,,,,10304,501,49
26981,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,957149,164697,40.6186902,-74.0976194,B,Highland Avenue,Arlo Road,Ridge Court,,,,,,10301,501,49
26980,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961131.42,164297.93,40.6176061,-74.0832731,B,Hardy Street,Irving Place,Prince Street,,,,,,10304,501,49
26979,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,960705.47,164354.59,40.6177605,-74.0848076,B,Targee Street,Waverly Place,Irving Place,,,,,,10304,501,49
26978,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961234.77,170805.97,40.6354696,-74.0829231,B,Willis Avenue,Avon Place,Fielder Avenue,,,,,,10301,501,49
26977,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961555.94,171199.69,40.6365511,-74.0817672,B,Victory Boulevard,Fiedler Avenue,Westervelt Avenue,,,,,,10301,501,49
26976,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961983,170899,40.6357268,-74.0802275,B,Tompkins Circle,Fiedler Avenue,Pavillion Hill Terrace,,,,,,10304,501,49
26975,11/16/2021,NY SMSA,Proposed,,UTILITY,Staten_Island,961027.35,166859.79,40.6246376,-74.0836568,B,Targee Street,Purroy Place,Broad Street,,,,,,10304,501,49
